58.20.59.178 - - [01/Aug/2013:03:15:31 -0300] "GET /science/browse/a/fulltext HTTP/1.1" 404 1001
71.6.151.167 - - [01/Aug/2013:08:57:09 -0300] "GET / HTTP/1.0" 404 951
121.227.13.144 - - [01/Aug/2013:09:45:01 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [01/Aug/2013:11:24:10 -0300] "GET /remoto/biomechanicalElements.do HTTP/1.1" 200 10414
143.107.162.166 - - [01/Aug/2013:11:24:11 -0300] "POST /remoto/musculotendon.do HTTP/1.1" 200 18763
143.107.162.166 - - [01/Aug/2013:11:24:14 -0300] "POST /remoto/musculotendon.do HTTP/1.1" 200 18757
143.107.162.166 - - [01/Aug/2013:11:50:47 -0300] "GET /remoto/start.do HTTP/1.1" 302 -
143.107.162.166 - - [01/Aug/2013:11:50:47 -0300] "GET /remoto/jsp/finish.jsp?status=finished HTTP/1.1" 200 7326
143.107.162.166 - - [01/Aug/2013:11:50:47 -0300] "GET /remoto/jsp/favicon.ico HTTP/1.1" 404 995
143.107.162.166 - - [01/Aug/2013:11:50:48 -0300] "GET /remoto/stimulation.do HTTP/1.1" 200 14017
143.107.162.166 - - [01/Aug/2013:11:50:49 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=stimulation&id=0.715440835663875 HTTP/1.1" 200 41706
143.107.162.166 - - [01/Aug/2013:11:50:53 -0300] "GET /remoto/start.do HTTP/1.1" 302 -
143.107.162.166 - - [01/Aug/2013:11:50:53 -0300] "GET /remoto/jsp/finish.jsp?status=finished HTTP/1.1" 200 7326
143.107.162.166 - - [01/Aug/2013:11:50:53 -0300] "GET /favicon.ico HTTP/1.1" 404 973
143.107.162.166 - - [01/Aug/2013:11:50:55 -0300] "POST /remoto/simulation.do HTTP/1.1" 200 7365
143.107.162.166 - - [01/Aug/2013:11:50:56 -0300] "GET /remoto/ProgressBar.jar HTTP/1.1" 304 -
143.107.162.166 - - [01/Aug/2013:11:50:56 -0300] "GET /remoto/results.do?opt=chart_img HTTP/1.1" 200 18967
143.107.162.166 - - [01/Aug/2013:11:50:56 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 -
143.107.162.166 - - [01/Aug/2013:11:50:56 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=rnwatanabe_29&id=0.7128372878069734 HTTP/1.1" 200 46834
